Term,Count,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
having,543,0.00029205607,0.00033088235,0.00067840813,0.00043189988,0.0005223376,0.0006659267,0.00068854174,0.00052996253,0.00044835007,0.0004020216,0.00047877943,0.0004616241,0.00045907826,0.0006022484,0.0006141563,0.0003208076,0.0004473189,0.00045018006
especially,528,0.00029205607,0.000625,0.0003612303,0.00049026473,0.0004916119,0.0004932791,0.000522342,0.00045144954,0.0005380201,0.00045945324,0.00057453534,0.0004752013,0.00048458262,0.0005754818,0.0005800365,0.00055606646,0.0004100423,0.0005002001
night,520,0.0014602804,0.00095588237,0.00063435565,0.00057197554,0.0004916119,0.0003699593,0.000522342,0.000490706,0.00040351506,0.0004163795,0.0004255817,0.00033942948,0.00022953913,0.0005219486,0.0006823959,0.00057745364,0.00046595716,0.00020008003
acting,519,0,0.0013970588,0.00050219824,0.00049026473,0.000476249,0.00071525463,0.00059357047,0.00031405187,0.00032879005,0.0005168849,0.00055325625,0.00050235563,0.00045907826,0.0004282655,0.00035825785,0.00055606646,0.000130468,0.0006002401
use,517,0.00058411213,0.0005147059,0.00059911364,0.0005836485,0.0004147975,0.00041928721,0.00045111353,0.000490706,0.00044835007,0.0004163795,0.0004681399,0.00043446975,0.00061210437,0.0005620985,0.00035825785,0.00049190497,0.00033548917,0.00040016006
company,516,0.00029205607,0.00014705882,0.00038766177,0.0006653593,0.00044552327,0.0003699593,0.00023742818,0.0002944236,0.00032879005,0.0005168849,0.000489419,0.00067885895,0.0004973348,0.0004684154,0.000665336,0.00076993817,0.000521872,0.0005002001
moments,515,0,0.00033088235,0.00031717782,0.00032684318,0.0005377005,0.0003206314,0.000522342,0.0007655014,0.00044835007,0.00067482196,0.0006064539,0.00052951,0.00054834347,0.00038811564,0.0006312162,0.00051329215,0.00039140403,0.00030012004
second,515,0.0011682243,0.00047794118,0.0003612303,0.00051361066,0.0004916119,0.0005919349,0.00075977016,0.0007066167,0.0005828551,0.0005312428,0.00043622125,0.0003937382,0.00031880435,0.0005487152,0.0005288568,0.00038496908,0.00035412743,0.00045018006
come,512,0.00058411213,0.0005147059,0.00048457723,0.00040855395,0.0004147975,0.00039462326,0.00047485635,0.00054959074,0.00034373507,0.00031587412,0.0004681399,0.0005973959,0.00051008695,0.00068254815,0.0005970964,0.00038496908,0.00050323375,0.0005502201
great,510,0.00029205607,0.00033088235,0.0003612303,0.00036186207,0.00030725743,0.00034529535,0.00054608483,0.00064773194,0.0005529651,0.00043073742,0.0003936631,0.00048877846,0.00040806958,0.0005353319,0.0006994558,0.000620228,0.0008573612,0.0005002001
