Time,Image difference number,Frame number,Non-identical pixels,Scene Number,Scene Type
00:56:06,374,56100,690,8,narrative
00:56:15,375,56250,39.3333333333333,8,narrative
00:56:24,376,56400,84.6666666666667,8,narrative
00:56:33,377,56550,5467,8,narrative
00:56:42,378,56700,14.3333333333333,8,narrative
00:56:51,379,56850,2276.66666666667,8,narrative
00:57:00,380,57000,46,8,narrative
00:57:09,381,57150,2087.33333333333,8,narrative
00:57:18,382,57300,12770.6666666667,8,narrative
00:57:27,383,57450,309.666666666667,8,narrative
00:57:36,384,57600,895.666666666667,8,narrative
00:57:45,385,57750,242.666666666667,9,frame
00:57:54,386,57900,567.333333333333,9,frame
00:58:03,387,58050,146.666666666667,9,frame
00:58:12,388,58200,773.666666666667,9,frame
00:58:21,389,58350,792.666666666667,9,frame
00:58:30,390,58500,476,9,frame
00:58:39,391,58650,604.666666666667,9,frame
00:58:48,392,58800,835,9,frame
00:58:57,393,58950,236.666666666667,9,frame
00:59:06,394,59100,729,9,frame
00:59:15,395,59250,129.333333333333,9,frame
00:59:24,396,59400,807.333333333333,9,frame
00:59:33,397,59550,62.3333333333333,9,frame
00:59:42,398,59700,223.333333333333,9,frame
00:59:51,399,59850,937.666666666667,9,frame
01:01:00,400,60000,532.666666666667,9,frame
01:01:09,401,60150,793,9,frame
01:01:18,402,60300,11.3333333333333,9,frame
01:01:27,403,60450,170.333333333333,9,frame
01:01:36,404,60600,371.666666666667,9,frame
01:01:45,405,60750,249.666666666667,9,frame
01:01:54,406,60900,853.666666666667,9,frame
01:02:03,407,61050,489,9,frame
01:02:12,408,61200,365.333333333333,9,frame
01:02:21,409,61350,86,9,frame
01:02:30,410,61500,236,9,frame
01:02:39,411,61650,325,9,frame
01:02:48,412,61800,522.666666666667,9,frame
01:02:57,413,61950,258.333333333333,9,frame
01:03:06,414,62100,211.333333333333,9,frame
01:03:15,415,62250,392.666666666667,9,frame
01:03:24,416,62400,599.666666666667,9,frame
01:03:33,417,62550,273.666666666667,9,frame
01:03:42,418,62700,787,9,frame
01:03:51,419,62850,432.333333333333,9,frame
01:04:00,420,63000,481.333333333333,9,frame
01:04:09,421,63150,282,9,frame
01:04:18,422,63300,410.666666666667,9,frame
01:04:27,423,63450,204,9,frame
01:04:36,424,63600,89.6666666666667,9,frame
01:04:45,425,63750,279.333333333333,9,frame
01:04:54,426,63900,717.666666666667,9,frame
01:05:03,427,64050,26,9,frame
01:05:12,428,64200,533.666666666667,9,frame
01:05:21,429,64350,623.666666666667,9,frame
01:05:30,430,64500,135.666666666667,9,frame
01:05:39,431,64650,1.33333333333333,9,frame
01:05:48,432,64800,350.666666666667,9,frame
01:05:57,433,64950,501.666666666667,9,frame
01:06:06,434,65100,183.333333333333,9,frame
01:06:15,435,65250,129.666666666667,9,frame
01:06:24,436,65400,326,9,frame
01:06:33,437,65550,293.333333333333,9,frame
01:06:42,438,65700,557,9,frame
01:06:51,439,65850,265.333333333333,9,frame
01:07:00,440,66000,0,9,frame
01:07:09,441,66150,0,9,frame
01:07:18,442,66300,0,9,frame
01:07:27,443,66450,0,9,frame
01:07:36,444,66600,0,9,frame
01:07:45,445,66750,0,9,frame
01:07:54,446,66900,0,9,frame
01:08:03,447,67050,0,9,frame
01:08:12,448,67200,0,9,frame
01:08:21,449,67350,0,9,frame
01:08:30,450,67500,0,9,frame
01:08:39,451,67650,0,9,frame
01:08:48,452,67800,0,9,frame
01:08:57,453,67950,0,9,frame
01:09:06,454,68100,0,9,frame
01:09:15,455,68250,0,9,frame
01:09:24,456,68400,0,9,frame
01:09:33,457,68550,0,9,frame
01:09:42,458,68700,0,9,frame
01:09:51,459,68850,0,9,frame
